project ID,project name,companies of project,role of company,location of company,source,
VCS5520,The Pekanbaru Suntara Peatland Project,PT. Suntara Gajapati,Project Proponent,"Riau, Indonesia",https://sustainability-dashboard.com/-/pt.-suntara-gajapati,
VCS5520,The Pekanbaru Suntara Peatland Project,"Indacom PTE, LTD.",Project Proponent,Singapore,https://www.linkedin.com/company/indacom/?originalSubdomain=sg,
VCS5520,The Pekanbaru Suntara Peatland Project,180 Climate PTE.Ltd,Project coordinator and community management,Singapore,https://www.180climate.net/,
VCS4381,WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT,"Asia Assets Developments Co., Ltd.",Project Proponent,Taiwan,https://www.asiaassetsdev.com/,
VCS4381,WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT,"Forward Intelligence Energy Co., Ltd.",Project proponent,Taiwan,http://forward-intelligence.com/,
VCS4381,WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT,PT Asia Pasifik Asset Percayaan,Project proponent,"Jakarta, Indonesia",https://trustindonesia.co.id/,
VCS4381,WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT,Sinetics Accreditation International Taiwan Ltd.,Technical advisor,Taiwan,https://www.sinetics.com.tw/,
VCS688,Wayang Windu Phase 2 Geothermal Power Project,Star Energy Geothermal (Wayang Windu) Limited,Project Proponent,Indonesia,https://www.starenergygeothermal.co.id/,
VCS486,"50 MW Sipansihaporas Hydro Power Plant, North Sumatra",PT. PLN (Persero),Project proponent,Indonesia,State company,
VCS486,"50 MW Sipansihaporas Hydro Power Plant, North Sumatra",South Pole Carbon Asset Management Ltd ,Carbon credit buyer,Switzerland,https://www.southpole.com/,
VCS488,"82 MW Lau Renun Hydro Power Plant, North Sumatra",PT. PLN (Persero),Project proponent,Indonesia,State company,
VCS488,"82 MW Lau Renun Hydro Power Plant, North Sumatra",South Pole Carbon Asset Management Ltd ,Carbon credit buyer,Switzerland,https://www.southpole.com/,
VCS487,"210 MW Musi Hydro Power Plant, Bengkulu",PT. PLN (Persero),Project proponent,Indonesia,State company,
VCS487,"210 MW Musi Hydro Power Plant, Bengkulu",South Pole Carbon Asset Management Ltd ,Carbon credit buyer + developer,Switzerland,https://www.southpole.com/,Developing the project + buying its credits?
VCS144,"Capacity Upgrade of Gunung Salak Geothermal Power Plant Project, Indonesia",PT Indonesia Power,Project proponent,Indonesia,State company (a part of PLN),
VCS144,"Capacity Upgrade of Gunung Salak Geothermal Power Plant Project, Indonesia",South Pole Carbon Asset Management Ltd ,carbon credit buyer,Switzerland,https://www.southpole.com/,
VCS1498,Preserving Peat Swamp Forest Ecosystem Through Redd+ Activity In Kampar Peninsula Riau-Indonesia,"KPHP Tasik Besar Serkap, Riau Province-Indonesia",Project Proponent,Indonesia,??,
